{'cq': '1', 'h2': 627, 'c2': 782, 'h3': 599, 'c3': 789, 'tq': '1', 'wn': '0b0', 't2': 237, 'tm': 1562823500, 'hq': '1', 't1': 250, 't3': 250, 'h1': 599, 'c1': 789}
{'cq': '1', 'h2': 627, 'c2': 782, 'h3': 602, 'c3': 789, 'tq': '1', 'wn': '0b0', 't2': 237, 'tm': 1562823503, 'hq': '1', 't1': 250, 't3': 250, 'h1': 602, 'c1': 789}
{'cq': '1', 'h2': 627, 'c2': 782, 'h3': 596, 'c3': 786, 'tq': '1', 'wn': '0b0', 't2': 236, 'tm': 1562823512, 'hq': '1', 't1': 250, 't3': 250, 'h1': 596, 'c1': 786}
{'cq': '1', 'h2': 627, 'c2': 782, 'h3': 594, 'c3': 787, 'tq': '1', 'wn': '0b0', 't2': 237, 'tm': 1562823515, 'hq': '1', 't1': 249, 't3': 249, 'h1': 594, 'c1': 787}
{'cq': '1', 'h2': 626, 'c2': 778, 'h3': 594, 'c3': 786, 'tq': '1', 'wn': '0b0', 't2': 237, 'tm': 1562823549, 'hq': '1', 't1': 249, 't3': 249, 'h1': 594, 'c1': 786}
{'cq': '1', 'h2': 626, 'c2': 778, 'h3': 593, 'c3': 786, 'tq': '1', 'wn': '0b0', 't2': 237, 'tm': 1562823552, 'hq': '1', 't1': 249, 't3': 249, 'h1': 593, 'c1': 786}
{'cq': '1', 'h2': 626, 'c2': 777, 'h3': 594, 'c3': 786, 'tq': '1', 'wn': '0b0', 't2': 237, 'tm': 1562823555, 'hq': '1', 't1': 249, 't3': 249, 'h1': 594, 'c1': 786}
{'cq': '1', 'h2': 625, 'c2': 776, 'h3': 598, 'c3': 783, 'tq': '1', 'wn': '0b0', 't2': 236, 'tm': 1562823610, 'hq': '1', 't1': 250, 't3': 250, 'h1': 598, 'c1': 783}
{'cq': '1', 'h2': 626, 'c2': 776, 'h3': 601, 'c3': 784, 'tq': '1', 'wn': '0b0', 't2': 236, 'tm': 1562823613, 'hq': '1', 't1': 250, 't3': 250, 'h1': 601, 'c1': 784}
{'cq': '1', 'h2': 626, 'c2': 780, 'h3': 601, 'c3': 784, 'tq': '1', 'wn': '0b0', 't2': 236, 'tm': 1562823657, 'hq': '1', 't1': 250, 't3': 250, 'h1': 601, 'c1': 784}
{'cq': '1', 'h2': 626, 'c2': 781, 'h3': 598, 'c3': 785, 'tq': '1', 'wn': '0b0', 't2': 236, 'tm': 1562823660, 'hq': '1', 't1': 250, 't3': 250, 'h1': 598, 'c1': 785}
{'cq': '1', 'h2': 626, 'c2': 781, 'h3': 596, 'c3': 785, 'tq': '1', 'wn': '0b0', 't2': 236, 'tm': 1562823663, 'hq': '1', 't1': 250, 't3': 250, 'h1': 596, 'c1': 785}
{'cq': '1', 'h2': 626, 'c2': 782, 'h3': 600, 'c3': 779, 'tq': '1', 'wn': '0b0', 't2': 236, 'tm': 1562823672, 'hq': '1', 't1': 250, 't3': 250, 'h1': 600, 'c1': 779}
{'cq': '1', 'h2': 626, 'c2': 782, 'h3': 601, 'c3': 779, 'tq': '1', 'wn': '0b0', 't2': 236, 'tm': 1562823675, 'hq': '1', 't1': 250, 't3': 250, 'h1': 601, 'c1': 779}
{'cq': '1', 'h2': 625, 'c2': 778, 'h3': 604, 'c3': 779, 'tq': '1', 'wn': '0b0', 't2': 236, 'tm': 1562823715, 'hq': '1', 't1': 250, 't3': 250, 'h1': 604, 'c1': 779}
{'cq': '1', 'h2': 625, 'c2': 779, 'h3': 603, 'c3': 780, 'tq': '1', 'wn': '0b0', 't2': 236, 'tm': 1562823718, 'hq': '1', 't1': 250, 't3': 250, 'h1': 603, 'c1': 780}
{'cq': '1', 'h2': 625, 'c2': 780, 'h3': 600, 'c3': 780, 'tq': '1', 'wn': '0b0', 't2': 236, 'tm': 1562823721, 'hq': '1', 't1': 250, 't3': 250, 'h1': 600, 'c1': 780}
{'cq': '1', 'h2': 625, 'c2': 781, 'h3': 594, 'c3': 779, 'tq': '1', 'wn': '0b0', 't2': 236, 'tm': 1562823768, 'hq': '1', 't1': 249, 't3': 249, 'h1': 594, 'c1': 779}
{'cq': '1', 'h2': 625, 'c2': 782, 'h3': 603, 'c3': 779, 'tq': '1', 'wn': '0b0', 't2': 236, 'tm': 1562823771, 'hq': '1', 't1': 249, 't3': 249, 'h1': 603, 'c1': 779}
{'cq': '1', 'h2': 625, 'c2': 777, 'h3': 613, 'c3': 779, 'tq': '1', 'wn': '0b0', 't2': 237, 'tm': 1562823777, 'hq': '1', 't1': 249, 't3': 249, 'h1': 613, 'c1': 779}
{'cq': '1', 'h2': 625, 'c2': 777, 'h3': 611, 'c3': 779, 'tq': '1', 'wn': '0b0', 't2': 237, 'tm': 1562823780, 'hq': '1', 't1': 249, 't3': 249, 'h1': 611, 'c1': 779}
{'cq': '1', 'h2': 624, 'c2': 777, 'h3': 607, 'c3': 779, 'tq': '1', 'wn': '0b0', 't2': 237, 'tm': 1562823783, 'hq': '1', 't1': 250, 't3': 250, 'h1': 607, 'c1': 779}
{'cq': '1', 'h2': 624, 'c2': 777, 'h3': 604, 'c3': 779, 'tq': '1', 'wn': '0b0', 't2': 237, 'tm': 1562823786, 'hq': '1', 't1': 250, 't3': 250, 'h1': 604, 'c1': 779}
{'cq': '1', 'h2': 624, 'c2': 777, 'h3': 603, 'c3': 779, 'tq': '1', 'wn': '0b0', 't2': 237, 'tm': 1562823789, 'hq': '1', 't1': 250, 't3': 250, 'h1': 603, 'c1': 779}
{'cq': '1', 'h2': 624, 'c2': 778, 'h3': 599, 'c3': 779, 'tq': '1', 'wn': '0b0', 't2': 237, 'tm': 1562823838, 'hq': '1', 't1': 249, 't3': 249, 'h1': 599, 'c1': 779}
{'cq': '1', 'h2': 624, 'c2': 778, 'h3': 597, 'c3': 779, 'tq': '1', 'wn': '0b0', 't2': 237, 'tm': 1562823841, 'hq': '1', 't1': 250, 't3': 250, 'h1': 597, 'c1': 779}
