{'t2': 245, 'h3': 555, 'h2': 588, 'c3': 813, 'c1': 813, 'c2': 813, 'wn': '0b0', 'tq': '1', 't3': 260, 'tm': 1562904319, 'h1': 555, 'hq': '1', 't1': 260, 'cq': '1'}
{'t2': 245, 'h3': 553, 'h2': 589, 'c3': 813, 'c1': 813, 'c2': 813, 'wn': '0b0', 'tq': '1', 't3': 260, 'tm': 1562904322, 'h1': 553, 'hq': '1', 't1': 260, 'cq': '1'}
{'t2': 245, 'h3': 553, 'h2': 588, 'c3': 813, 'c1': 813, 'c2': 813, 'wn': '0b0', 'tq': '1', 't3': 260, 'tm': 1562904325, 'h1': 553, 'hq': '1', 't1': 260, 'cq': '1'}
{'t2': 245, 'h3': 557, 'h2': 588, 'c3': 814, 'c1': 814, 'c2': 814, 'wn': '0b0', 'tq': '1', 't3': 260, 'tm': 1562904353, 'h1': 557, 'hq': '1', 't1': 260, 'cq': '1'}
{'t2': 245, 'h3': 559, 'h2': 588, 'c3': 814, 'c1': 814, 'c2': 815, 'wn': '0b0', 'tq': '1', 't3': 260, 'tm': 1562904356, 'h1': 559, 'hq': '1', 't1': 260, 'cq': '1'}
{'t2': 244, 'h3': 561, 'h2': 589, 'c3': 814, 'c1': 814, 'c2': 818, 'wn': '0b0', 'tq': '1', 't3': 260, 'tm': 1562904433, 'h1': 561, 'hq': '1', 't1': 260, 'cq': '1'}
{'t2': 244, 'h3': 562, 'h2': 590, 'c3': 814, 'c1': 814, 'c2': 817, 'wn': '0b0', 'tq': '1', 't3': 260, 'tm': 1562904436, 'h1': 562, 'hq': '1', 't1': 260, 'cq': '1'}
{'t2': 244, 'h3': 562, 'h2': 590, 'c3': 813, 'c1': 813, 'c2': 816, 'wn': '0b0', 'tq': '1', 't3': 260, 'tm': 1562904439, 'h1': 562, 'hq': '1', 't1': 260, 'cq': '1'}
{'t2': 244, 'h3': 554, 'h2': 589, 'c3': 817, 'c1': 817, 'c2': 814, 'wn': '0b0', 'tq': '1', 't3': 260, 'tm': 1562904475, 'h1': 554, 'hq': '1', 't1': 260, 'cq': '1'}
{'t2': 244, 'h3': 554, 'h2': 588, 'c3': 817, 'c1': 817, 'c2': 814, 'wn': '0b0', 'tq': '1', 't3': 260, 'tm': 1562904478, 'h1': 554, 'hq': '1', 't1': 260, 'cq': '1'}
{'t2': 242, 'h3': 552, 'h2': 592, 'c3': 817, 'c1': 817, 'c2': 814, 'wn': '0b0', 'tq': '1', 't3': 260, 'tm': 1562904569, 'h1': 552, 'hq': '1', 't1': 260, 'cq': '1'}
{'t2': 243, 'h3': 552, 'h2': 592, 'c3': 818, 'c1': 818, 'c2': 814, 'wn': '0b0', 'tq': '1', 't3': 260, 'tm': 1562904572, 'h1': 552, 'hq': '1', 't1': 260, 'cq': '1'}
{'t2': 243, 'h3': 553, 'h2': 592, 'c3': 818, 'c1': 818, 'c2': 815, 'wn': '0b0', 'tq': '1', 't3': 260, 'tm': 1562904575, 'h1': 553, 'hq': '1', 't1': 260, 'cq': '1'}
{'t2': 243, 'h3': 555, 'h2': 591, 'c3': 814, 'c1': 814, 'c2': 816, 'wn': '0b0', 'tq': '1', 't3': 260, 'tm': 1562904611, 'h1': 555, 'hq': '1', 't1': 260, 'cq': '1'}
{'t2': 243, 'h3': 553, 'h2': 590, 'c3': 813, 'c1': 813, 'c2': 816, 'wn': '0b0', 'tq': '1', 't3': 260, 'tm': 1562904614, 'h1': 553, 'hq': '1', 't1': 260, 'cq': '1'}
{'t2': 243, 'h3': 552, 'h2': 588, 'c3': 812, 'c1': 812, 'c2': 818, 'wn': '0b0', 'tq': '1', 't3': 260, 'tm': 1562904679, 'h1': 552, 'hq': '1', 't1': 260, 'cq': '1'}
{'t2': 243, 'h3': 553, 'h2': 588, 'c3': 811, 'c1': 811, 'c2': 818, 'wn': '0b0', 'tq': '1', 't3': 260, 'tm': 1562904682, 'h1': 553, 'hq': '1', 't1': 260, 'cq': '1'}
{'t2': 243, 'h3': 552, 'h2': 589, 'c3': 810, 'c1': 810, 'c2': 818, 'wn': '0b0', 'tq': '1', 't3': 259, 'tm': 1562904685, 'h1': 552, 'hq': '1', 't1': 259, 'cq': '1'}
{'t2': 243, 'h3': 557, 'h2': 589, 'c3': 811, 'c1': 811, 'c2': 819, 'wn': '0b0', 'tq': '1', 't3': 260, 'tm': 1562904693, 'h1': 557, 'hq': '1', 't1': 260, 'cq': '1'}
{'t2': 243, 'h3': 560, 'h2': 589, 'c3': 811, 'c1': 811, 'c2': 819, 'wn': '0b0', 'tq': '1', 't3': 260, 'tm': 1562904696, 'h1': 560, 'hq': '1', 't1': 260, 'cq': '1'}
{'t2': 243, 'h3': 564, 'h2': 592, 'c3': 811, 'c1': 811, 'c2': 819, 'wn': '0b0', 'tq': '1', 't3': 260, 'tm': 1562904799, 'h1': 564, 'hq': '1', 't1': 260, 'cq': '1'}
{'t2': 243, 'h3': 566, 'h2': 591, 'c3': 812, 'c1': 812, 'c2': 819, 'wn': '0b0', 'tq': '1', 't3': 260, 'tm': 1562904802, 'h1': 566, 'hq': '1', 't1': 260, 'cq': '1'}
{'t2': 243, 'h3': 566, 'h2': 591, 'c3': 811, 'c1': 811, 'c2': 819, 'wn': '0b0', 'tq': '1', 't3': 260, 'tm': 1562904805, 'h1': 566, 'hq': '1', 't1': 260, 'cq': '1'}
{'t2': 243, 'h3': 561, 'h2': 591, 'c3': 813, 'c1': 813, 'c2': 818, 'wn': '0b0', 'tq': '1', 't3': 260, 'tm': 1562904841, 'h1': 561, 'hq': '1', 't1': 260, 'cq': '1'}
{'t2': 243, 'h3': 561, 'h2': 592, 'c3': 813, 'c1': 813, 'c2': 817, 'wn': '0b0', 'tq': '1', 't3': 260, 'tm': 1562904844, 'h1': 561, 'hq': '1', 't1': 260, 'cq': '1'}
{'t2': 243, 'h3': 563, 'h2': 591, 'c3': 813, 'c1': 813, 'c2': 815, 'wn': '0b0', 'tq': '1', 't3': 260, 'tm': 1562904915, 'h1': 563, 'hq': '1', 't1': 260, 'cq': '1'}
{'t2': 243, 'h3': 562, 'h2': 592, 'c3': 813, 'c1': 813, 'c2': 815, 'wn': '0b0', 'tq': '1', 't3': 260, 'tm': 1562904918, 'h1': 562, 'hq': '1', 't1': 260, 'cq': '1'}
{'t2': 243, 'h3': 561, 'h2': 592, 'c3': 813, 'c1': 813, 'c2': 815, 'wn': '0b0', 'tq': '1', 't3': 260, 'tm': 1562904921, 'h1': 561, 'hq': '1', 't1': 260, 'cq': '1'}
{'t2': 243, 'h3': 553, 'h2': 592, 'c3': 810, 'c1': 810, 'c2': 814, 'wn': '0b0', 'tq': '1', 't3': 260, 'tm': 1562904965, 'h1': 553, 'hq': '1', 't1': 260, 'cq': '1'}
{'t2': 243, 'h3': 556, 'h2': 592, 'c3': 810, 'c1': 810, 'c2': 814, 'wn': '0b0', 'tq': '1', 't3': 260, 'tm': 1562904968, 'h1': 556, 'hq': '1', 't1': 260, 'cq': '1'}
{'t2': 244, 'h3': 558, 'h2': 589, 'c3': 809, 'c1': 809, 'c2': 812, 'wn': '0b0', 'tq': '1', 't3': 260, 'tm': 1562905033, 'h1': 558, 'hq': '1', 't1': 260, 'cq': '1'}
{'t2': 244, 'h3': 558, 'h2': 589, 'c3': 810, 'c1': 810, 'c2': 812, 'wn': '0b0', 'tq': '1', 't3': 260, 'tm': 1562905036, 'h1': 558, 'hq': '1', 't1': 260, 'cq': '1'}
{'t2': 244, 'h3': 556, 'h2': 590, 'c3': 811, 'c1': 811, 'c2': 812, 'wn': '0b0', 'tq': '1', 't3': 260, 'tm': 1562905039, 'h1': 556, 'hq': '1', 't1': 260, 'cq': '1'}
{'t2': 243, 'h3': 560, 'h2': 590, 'c3': 812, 'c1': 812, 'c2': 813, 'wn': '0b0', 'tq': '1', 't3': 260, 'tm': 1562905077, 'h1': 560, 'hq': '1', 't1': 260, 'cq': '1'}
{'t2': 243, 'h3': 556, 'h2': 590, 'c3': 812, 'c1': 812, 'c2': 813, 'wn': '0b0', 'tq': '1', 't3': 259, 'tm': 1562905080, 'h1': 556, 'hq': '1', 't1': 259, 'cq': '1'}
{'t2': 244, 'h3': 560, 'h2': 589, 'c3': 811, 'c1': 811, 'c2': 806, 'wn': '0b0', 'tq': '1', 't3': 260, 'tm': 1562905145, 'h1': 560, 'hq': '1', 't1': 260, 'cq': '1'}
{'t2': 244, 'h3': 561, 'h2': 589, 'c3': 812, 'c1': 812, 'c2': 808, 'wn': '0b0', 'tq': '1', 't3': 259, 'tm': 1562905148, 'h1': 561, 'hq': '1', 't1': 259, 'cq': '1'}
{'t2': 244, 'h3': 561, 'h2': 589, 'c3': 812, 'c1': 812, 'c2': 806, 'wn': '0b0', 'tq': '1', 't3': 259, 'tm': 1562905151, 'h1': 561, 'hq': '1', 't1': 259, 'cq': '1'}
